stationid,lat,lon,name,state,elevation,distance,rating
280490021,32.34667,-90.22583,"Coleman Avenue, Jackson, Hinds County, Mississippi, 39213, United States",Mississippi,108.08,217,0.9125214408233276
290210005,39.741670000000006,-94.85806,"2598, MO 759, St. Joseph, Buchanan County, Missouri, 64501, United States",Missouri,249.96,1085,0.9018867924528302
290370003,38.759440000000005,-94.57972,"1850, East 203rd Street, Jaudon, Cass County, Missouri, 64012, United States",Missouri,325.89,974,0.9080617495711836
290390001,37.70083,-94.03472,"2235, East 1370 Road, Cedar County, Missouri, 64744, United States",Missouri,295.83,854,0.8816466552315609
290470005,39.30306,-94.37639,"16710, Northeast 116th Street, Country Hills, Chandler, Clay County, Missouri, 64060, United States",Missouri,278.91,1033,0.8933104631217839
290770036,37.25583,-93.29945,"Hillcrest High School, West Windy Ridge Lane, Springfield, Greene County, Missouri, 65803, United States",Missouri,371.54,806,0.9032590051457976
290950034,39.10444,-94.57027,"Taliaferro & Browne Inc., 1020, East 8th Street, Columbus Park, Kansas City, Jackson County, Missouri, 64106, United States",Missouri,291.65,1012,0.8953687821612349
290950042,39.04778,-94.45028,"Harvard Circle, Kansas City, Jackson County, Missouri, 64052, United States",Missouri,292.72,1005,0.8967409948542024
291893001,38.650000000000006,-90.35028,"I 170, Ladue, Saint Louis County, Missouri, 63117, United States",Missouri,158.01,899,0.9049742710120069
295100007,38.5425,-90.26334,"Saint Louis City Engine House Number 34 Fire Station, 8227, South Broadway, Patch, Saint Louis, Missouri, 63111, United States",Missouri,140.2,885,0.904631217838765
295100085,38.65639,-90.19833,"1509, Branch Street, Hyde Park, Saint Louis, Missouri, 63107, United States",Missouri,136.85,897,0.9032590051457976
295100093,38.65639,-90.18972,"115, Branch Street, Near North Riverfront, Saint Louis, Missouri, 63147, United States",Missouri,128.42,897,0.9097770154373928
295100094,38.63083,-90.28111,"I 64;US 40, Saint Louis, Missouri, 63139, United States",Missouri,158.51,895,0.8627787307032591
300130001,47.49417,-111.30305,"301, 10th Avenue South, Great Falls, Cascade County, Montana, 59405, United States",Montana,1021.75,818,0.9204116638078902
300270006,47.04833000000001,-109.45528,"East Aztec Drive, Lewistown, Fergus County, Montana, 59457, United States",Montana,1263.62,963,0.9060034305317324
300290049,48.36361,-114.18916000000002,"Columbia Falls High School, 610, 13th Street West, Columbia Falls, Flathead County, Montana, 59912, United States",Montana,928.75,595,0.9166380789022298
300310017,44.656940000000006,-111.08945,"West Entrance Road, Gallatin County, Montana, 59758, United States",Montana,2035.78,915,0.8610634648370498
300490004,46.850280000000005,-111.98695,"Lewis and Clark County, Montana, United States",Montana,1192.48,777,0.9108061749571184
300490026,46.65861,-112.01305,"Rossiter Elementary School, 1497, Sierra Road East, Helena Valley Northeast, Lewis and Clark County, Montana, 59602, United States",Montana,1134.26,779,0.9015437392795883
300530018,48.38389,-115.54778,"Big Sky Lumber Supply, Minnesota Avenue, Libby, Lincoln County, Montana, United States",Montana,637.51,495,0.913893653516295
300630024,46.842220000000005,-114.02028,"Washburn Street, Southgate Triangle, Missoula, Missoula County, Montana, 59801, United States",Montana,969.35,624,0.918696397941681
300630037,47.01278000000001,-114.22417000000002,"Beckwith Street, Frenchtown, Missoula County, Montana, 59834, United States",Montana,931.28,606,0.918696397941681
300630038,47.17556,-113.47611,"180, School Lane, Seeley Lake, Missoula County, Montana, 59868, United States",Montana,1237.05,659,0.9180102915951973
300710010,48.3175,-107.86222,"Phillips County, Montana, 59538, United States",Montana,774.02,1065,0.9060034305317324
300810007,46.24361,-114.15889,"347, Madison Street, Leisure Village, Hamilton, Ravalli County, Montana, 59840, United States",Montana,1088.71,629,0.9169811320754717
300830002,47.86778,-104.67667000000002,"MT 201, Girard, Richland County, Montana, United States",Montana,714.34,1287,0.878902229845626
300930005,46.00222,-112.50083,"2432, South Park Place, Silver Bow Park, Butte, Silver Bow County, Montana, 59701, United States",Montana,1679.3,760,0.899828473413379
320030298,36.04861,-115.05278,"1551, Santiago Drive, Henderson, Clark County, Nevada, 89014, United States",Nevada,561.11,374,0.9080617495711836
320030561,36.16389,-115.11389,"Sunrise Acres Elementary School, North 26th Street, Five Points, Las Vegas, Clark County, Nevada, 89104, United States",Nevada,561.52,380,0.9111492281303601
320031019,35.785560000000004,-115.35694,"Jean, Clark County, Nevada, 89026, United States",Nevada,921.88,334,0.9101200686106347
320031501,36.13944,-115.17555000000002,"Las Vegas Freeway, Las Vegas, Clark County, Nevada, 89102, United States",Nevada,637.78,374,0.9101200686106347
